               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.013156,           0.0043939,           0.0010699,             0.63699,             0.65551,             0.65399,             0.48425,            0.023849,           0.0062908,            0.051166,            0.070536,           0.0032738,           0.0032738
                   1,            0.013671,           0.0042844,          0.00087594,             0.55859,             0.73364,             0.63782,             0.47563,             0.02439,           0.0067689,            0.053602,            0.040503,           0.0065744,           0.0065744
                   2,            0.015175,           0.0043929,          0.00057648,             0.54925,             0.68293,             0.57378,             0.41678,            0.025164,           0.0068246,            0.077226,            0.010437,           0.0098421,           0.0098421
                   3,            0.015745,           0.0042572,          0.00068236,             0.55073,             0.71798,             0.62325,             0.44684,            0.024251,           0.0066708,            0.050501,           0.0098515,           0.0098515,           0.0098515
                   4,            0.015118,           0.0043357,          0.00093043,             0.53434,             0.74788,             0.61733,             0.43447,            0.025335,           0.0066109,            0.054041,           0.0098515,           0.0098515,           0.0098515
                   5,            0.015807,           0.0045286,           0.0010063,             0.54427,             0.74502,             0.60103,              0.4345,            0.025463,           0.0073453,            0.052434,            0.009802,            0.009802,            0.009802
                   6,            0.015112,           0.0044032,           0.0010362,             0.51783,             0.70525,             0.57767,             0.41859,            0.025178,           0.0069934,            0.061284,           0.0097525,           0.0097525,           0.0097525
                   7,            0.015526,           0.0043347,           0.0012275,             0.51196,             0.70025,             0.57447,             0.40873,            0.026131,           0.0068818,            0.066214,            0.009703,            0.009703,            0.009703
                   8,             0.01563,           0.0044847,          0.00094568,              0.4738,             0.60483,             0.48168,              0.3512,            0.026569,           0.0085663,            0.074541,           0.0096535,           0.0096535,           0.0096535
                   9,            0.015662,           0.0046061,           0.0014391,             0.50172,             0.66827,             0.53144,             0.38785,            0.024895,           0.0073329,            0.067982,            0.009604,            0.009604,            0.009604
                  10,            0.015501,           0.0044735,           0.0012021,             0.52437,             0.69896,             0.55916,             0.39299,            0.026565,           0.0081872,            0.047063,           0.0095545,           0.0095545,           0.0095545
                  11,            0.014545,           0.0042892,          0.00099573,             0.47509,             0.73347,             0.54157,              0.3914,            0.024675,           0.0068134,            0.063049,            0.009505,            0.009505,            0.009505
                  12,            0.014655,           0.0046425,            0.001304,              0.4796,               0.672,             0.53799,             0.37986,            0.025852,            0.006954,             0.07098,           0.0094555,           0.0094555,           0.0094555
                  13,             0.01505,           0.0045435,           0.0013608,             0.48758,              0.6301,             0.52695,             0.36829,            0.025946,           0.0069291,            0.080634,            0.009406,            0.009406,            0.009406
                  14,            0.015173,           0.0045108,           0.0012056,             0.49383,             0.69436,             0.54676,             0.39567,            0.025417,            0.006815,            0.066636,           0.0093565,           0.0093565,           0.0093565
                  15,            0.014717,           0.0044467,           0.0010733,             0.45949,              0.6926,             0.56501,              0.4006,             0.02489,           0.0064171,             0.06475,            0.009307,            0.009307,            0.009307
                  16,            0.014294,           0.0044158,           0.0014133,              0.4775,             0.67427,             0.56998,             0.40822,            0.025455,           0.0069092,            0.069468,           0.0092575,           0.0092575,           0.0092575
